bvap	ovap	Bosley	Roberts	Ribaudo	Villa	NoVote
13	802	19	21	44	219	512
2	973	15	20	47	210	683
3	955	17	26	59	282	574
0	788	23	28	66	158	513
16	958	21	19	64	225	645
21	1009	19	24	37	138	812
57	1229	54	40	67	130	995
64	849	86	32	46	127	622
57	906	84	42	60	114	663
26	1167	28	17	50	153	945
12	904	17	14	67	172	646
25	741	39	15	58	152	502
37	861	80	28	60	122	608
63	810	50	38	52	89	644
25	886	35	19	80	116	661
13	1117	39	26	96	206	763
67	612	41	13	33	48	544
2	676	13	22	58	176	409
1	642	24	23	60	209	327
0	569	15	9	60	174	311
1	689	23	23	76	203	365
0	714	14	19	80	172	429
4	744	24	13	77	204	430
0	699	23	21	57	235	363
0	723	16	16	67	254	370
2	693	18	23	52	304	298
0	683	13	21	51	265	333
2	753	35	28	65	283	344
1	584	8	16	47	254	260
0	367	9	13	34	162	149
0	647	17	18	39	258	315
3	800	27	23	59	188	506
18	773	25	19	57	183	507
1	1009	24	14	96	239	637
0	392	9	5	44	143	191
260	388	64	4	11	87	482
132	608	56	8	1	29	646
758	2352	486	86	53	423	2062
372	1837	142	19	21	93	1934
368	290	135	20	7	50	446
927	485	201	28	22	90	1071
506	512	187	20	12	99	700
213	1291	74	19	127	133	1151
99	6	7	4	0	2	92
126	30	20	0	0	0	136
133	508	30	2	24	173	412
200	112	31	0	5	13	263
222	56	55	1	1	1	220
1115	112	310	38	15	14	850
33	176	40	2	0	16	151
925	7	240	20	2	7	663
809	9	229	19	1	6	563
710	15	186	15	2	8	514
115	1	30	2	0	0	84
861	20	242	24	3	11	601
284	6	97	8	5	7	173
812	9	242	23	11	6	539
1038	7	269	26	8	4	738
759	7	209	20	3	9	525
966	4	215	11	3	5	736
840	12	255	24	8	8	557
1116	91	318	25	3	15	846
894	3	207	18	12	10	650
501	8	117	9	9	15	359
388	3	68	10	2	5	306
499	3	122	5	5	4	366
557	5	129	12	7	6	408
531	1804	168	23	12	59	2073
620	47	127	17	11	5	507
1152	16	299	32	15	11	811
176	430	46	14	3	18	525
549	3	176	33	7	10	326
782	3	302	48	6	13	416
894	1	308	40	7	10	530
760	4	226	45	6	10	477
560	6	183	29	5	5	344
724	9	270	39	8	13	403
758	4	252	34	20	14	442
668	6	240	25	7	12	390
925	10	269	47	12	10	597
761	7	240	38	5	10	475
934	20	264	56	17	15	602
538	19	192	42	9	3	311
743	4	278	29	12	8	420
555	8	219	25	6	6	307
647	9	221	24	7	14	390
185	1	43	1	1	9	132
745	7	289	24	10	8	421
912	14	274	10	4	13	625
775	5	237	22	8	9	504
776	8	261	19	3	6	495
850	15	305	30	9	5	516
740	17	300	31	7	12	407
752	10	246	26	2	12	476
864	10	267	17	4	11	575
855	79	272	27	3	3	629
581	11	242	18	4	8	320
868	5	258	23	6	16	570
757	12	245	24	2	11	487
1439	10	427	46	13	15	948
671	17	166	9	2	7	504
855	4	231	20	6	7	595
668	10	193	19	2	4	460
588	3	167	12	2	16	394
1139	9	326	18	4	12	788
710	2	201	17	4	6	484
874	11	186	11	3	4	681
1030	12	271	18	4	8	741
883	19	185	32	4	7	674
1	806	27	26	129	121	504
2	724	23	14	93	132	464
118	1158	62	37	140	228	809
11	691	32	13	46	142	469
3	709	17	18	58	206	413
0	668	16	21	41	241	349
1	684	15	24	81	201	364
3	1401	39	49	154	466	696
5	630	21	15	49	97	453
3	809	28	27	101	189	467
1	869	29	32	130	258	421
0	589	17	27	82	216	247
1	591	17	20	77	205	273
6	873	27	26	81	227	518
0	638	19	15	102	131	371
29	852	11	11	179	94	586
14	1194	29	12	470	114	583
0	764	7	4	309	87	357
3	754	7	5	253	47	445
8	897	26	20	152	131	576
1	808	32	26	139	138	474
8	830	22	18	81	125	592
43	685	15	12	43	64	594
72	790	41	20	55	108	638
18	645	38	16	48	124	437
30	786	22	16	86	147	545
64	1028	62	30	61	117	822
6	821	28	27	120	134	518
27	816	35	22	80	81	625
36	1207	38	25	40	176	964
26	1031	30	27	43	225	732
0	360	3	5	9	59	284
327	692	64	24	28	113	790
17	945	17	35	48	237	625
23	1186	24	29	52	201	903
35	305	11	11	8	34	276
23	914	25	13	37	138	724
16	1426	50	34	54	206	1098
0	672	16	35	69	213	339
1	822	15	28	60	221	499
1	887	20	23	50	154	641
2	766	27	26	69	141	505
898	5	238	30	7	7	621
709	5	190	35	7	11	471
745	437	134	22	6	11	1009
838	3	192	21	7	6	615
809	1	210	19	2	6	573
768	8	225	29	4	9	509
1095	93	290	28	9	15	846
814	8	192	11	6	10	603
1052	23	239	17	2	5	812
669	15	156	10	2	4	512
667	17	201	16	6	5	456
202	125	85	15	5	25	197
689	43	212	16	6	8	490
898	19	196	27	4	12	678
789	55	216	21	5	18	584
733	37	261	27	2	18	462
790	40	276	22	8	7	517
833	22	265	27	5	9	549
638	38	285	28	7	15	341
783	56	339	15	11	27	447
1411	81	371	38	5	23	1055
691	21	158	10	4	3	537
586	22	139	15	1	10	443
7	191	11	8	4	19	156
36	33	5	0	1	4	59
42	1021	96	24	14	180	749
315	755	182	30	10	75	773
420	451	239	21	8	129	474
531	203	238	31	9	43	413
632	261	274	22	5	24	568
357	941	157	21	25	55	1040
188	869	207	35	15	130	670
390	900	190	38	19	162	881
75	1080	135	28	15	148	829
292	913	145	26	11	101	922
257	555	204	21	11	100	476
41	59	7	6	6	7	74
